No;Bulan;Tahun;Stok
1;Jan;2022;56
2;Feb;2022;48
3;Mar;2022;65
4;Apr;2022;79
5;May;2022;75
6;Jun;2022;58
7;Jul;2022;77
8;Aug;2022;61
9;Sep;2022;60
10;Oct;2022;53
11;Nov;2022;76
12;Dec;2022;59
13;Jan;2023;65
14;Feb;2023;52
15;Mar;2023;67
16;Apr;2023;73
17;May;2023;78
18;Jun;2023;61
19;Jul;2023;55
20;Aug;2023;61
21;Sep;2023;56
22;Oct;2023;75
23;Nov;2023;62
24;Dec;2023;69
25;Jan;2024;73
26;Feb;2024;70
27;Mar;2024;65
28;Apr;2024;86
29;May;2024;66
30;Jun;2024;52
31;Jul;2024;75
32;Aug;2024;60
33;Sep;2024;78
34;Oct;2024;59
35;Nov;2024;65
36;Dec;2024;61
