No;Bulan;Tahun;Stok
1;Januari;2022;64
2;Februari;2022;61
3;Maret;2022;66
4;April;2022;67
5;Mei;2022;69
6;Juni;2022;65
7;Juli;2022;68
8;Agustus;2022;70
9;September;2022;72
10;Oktober;2022;68
11;November;2022;65
12;Desember;2022;65
13;Januari;2023;67
14;Februari;2023;70
15;Maret;2023;72
16;April;2023;75
17;Mei;2023;73
18;Juni;2023;70
19;Juli;2023;67
20;Agustus;2023;70
21;September;2023;74
22;Oktober;2023;77
23;November;2023;78
24;Desember;2023;73
25;Januari;2024;71
26;Februari;2024;66
27;Maret;2024;70
28;April;2024;74
29;Mei;2024;76
30;Juni;2024;79
31;Juli;2024;80
32;Agustus;2024;83
33;September;2024;78
34;Oktober;2024;74
35;November;2024;71
36;Desember;2024;75
