No;Bulan;Tahun;Stok
1;Januari;2022;68
2;Februari;2022;65
3;Maret;2022;67
4;April;2022;70
5;Mei;2022;73
6;Juni;2022;77
7;Juli;2022;71
8;Agustus;2022;70
9;September;2022;66
10;Oktober;2022;72
11;November;2022;75
12;Desember;2022;79
13;Januari;2023;80
14;Februari;2023;78
15;Maret;2023;76
16;April;2023;77
17;Mei;2023;71
18;Juni;2023;74
19;Juli;2023;72
20;Agustus;2023;75
21;September;2023;80
22;Oktober;2023;76
23;November;2023;78
24;Desember;2023;83
25;Januari;2024;88
26;Februari;2024;86
27;Maret;2024;81
28;April;2024;79
29;Mei;2024;75
30;Juni;2024;78
31;Juli;2024;82
32;Agustus;2024;85
33;September;2024;84
34;Oktober;2024;86
35;November;2024;88
36;Desember;2024;82
