No;Bulan;Tahun;Stok
1;Januari;2022;49
2;Februari;2022;51
3;Maret;2022;54
4;April;2022;53
5;Mei;2022;55
6;Juni;2022;50
7;Juli;2022;48
8;Agustus;2022;52
9;September;2022;56
10;Oktober;2022;54
11;November;2022;58
12;Desember;2022;61
13;Januari;2023;58
14;Februari;2023;57
15;Maret;2023;53
16;April;2023;56
17;Mei;2023;55
18;Juni;2023;59
19;Juli;2023;57
20;Agustus;2023;60
21;September;2023;63
22;Oktober;2023;61
23;November;2023;66
24;Desember;2023;62
25;Januari;2024;65
26;Februari;2024;66
27;Maret;2024;64
28;April;2024;61
29;Mei;2024;68
30;Juni;2024;67
31;Juli;2024;63
32;Agustus;2024;66
33;September;2024;62
34;Oktober;2024;61
35;November;2024;65
36;Desember;2024;66
