No;Bulan;Tahun;Stok
1;Jan;2022;73
2;Feb;2022;65
3;Mar;2022;74
4;Apr;2022;52
5;May;2022;49
6;Jun;2022;57
7;Jul;2022;68
8;Aug;2022;63
9;Sep;2022;61
10;Oct;2022;54
11;Nov;2022;69
12;Dec;2022;55
13;Jan;2023;52
14;Feb;2023;66
15;Mar;2023;86
16;Apr;2023;79
17;May;2023;71
18;Jun;2023;65
19;Jul;2023;63
20;Aug;2023;57
21;Sep;2023;62
22;Oct;2023;74
23;Nov;2023;78
24;Dec;2023;61
25;Jan;2024;70
26;Feb;2024;74
27;Mar;2024;86
28;Apr;2024;65
29;May;2024;51
30;Jun;2024;60
31;Jul;2024;59
32;Aug;2024;78
33;Sep;2024;63
34;Oct;2024;57
35;Nov;2024;62
36;Dec;2024;60
